year,team_name,highest_salary_player,highest_salary,median_salary,ratio
1985,Philadelphia Phillies,Mike Schmidt,2130300,400000,5.3
1986,New York Mets,George Foster,2800000,294404,9.5
1987,Philadelphia Phillies,Mike Schmidt,2127333,285000,7.5
1988,St. Louis Cardinals,Ozzie Smith,2340000,295000,7.9
1989,Los Angeles Dodgers,Orel Hershiser,2766667,300000,9.2
1990,Milwaukee Brewers,Robin Yount,3200000,250000,12.8
1991,Los Angeles Dodgers,Darryl Strawberry,3800000,500000,7.6
1992,New York Mets,Bobby Bonilla,6100000,430000,14.2
1993,New York Mets,Bobby Bonilla,6200000,300000,20.7
1994,New York Mets,Bobby Bonilla,6300000,337500,18.7
1995,Detroit Tigers,Cecil Fielder,9237500,222500,41.5
1996,Detroit Tigers,Cecil Fielder,9237500,258333,35.8
1997,Chicago White Sox,Albert Belle,10000000,350000,28.6
1998,Florida Marlins,Gary Sheffield,14936667,325000,46.0
1999,Baltimore Orioles,Albert Belle,11949794,427500,28.0
2000,Los Angeles Dodgers,Kevin Brown,15714286,750000,21.0
2001,Texas Rangers,Alex Rodriguez,22000000,925000,23.8
2002,Texas Rangers,Alex Rodriguez,22000000,900000,24.4
2003,Texas Rangers,Alex Rodriguez,22000000,788000,27.9
2004,Boston Red Sox,Manny Ramirez,22500000,775000,29.0
2005,New York Yankees,Alex Rodriguez,26000000,850000,30.6
2006,New York Yankees,Alex Rodriguez,21680727,980000,22.1
2007,New York Yankees,Jason Giambi,23428571,1000000,23.4
2008,New York Yankees,Alex Rodriguez,28000000,1000000,28.0
2009,New York Yankees,Alex Rodriguez,33000000,1225000,26.9
2010,New York Yankees,Alex Rodriguez,33000000,1093750,30.2
2011,New York Yankees,Alex Rodriguez,32000000,1200000,26.7
2012,New York Yankees,Alex Rodriguez,30000000,1100000,27.3
2013,New York Yankees,Alex Rodriguez,29000000,1350000,21.5
2014,Los Angeles Dodgers,Zack Greinke,26000000,1500000,17.3
2015,Los Angeles Dodgers,Clayton Kershaw,32571000,1880000,17.3
2016,Los Angeles Dodgers,Clayton Kershaw,33000000,1500000,22.0
