name,world_series_won,regular_game_won,total_home_attendance,rank_by_games,rank_by_attendance
Boston Red Sox,4,2064,64813148,1,6
San Francisco Giants,3,1972,70734879,2,4
New York Yankees,2,2192,79854508,3,2
St. Louis Cardinals,2,2096,75220248,4,3
Houston Astros,2,1941,58089977,5,11
Los Angeles Dodgers,1,2141,81283525,6,1
Atlanta Braves,1,2063,58679666,7,10
Philadelphia Phillies,1,1924,59734344,8,9
Chicago Cubs,1,1886,67595995,9,5
Chicago White Sox,1,1870,45276617,10,23
Texas Rangers,1,1859,57163638,11,13
Arizona Diamondbacks,1,1833,51104675,12,18
Kansas City Royals,1,1651,38765743,13,27
Washington Nationals,1,1439,40111558,14,26
Florida Marlins,1,963,16518116,15,30
Anaheim Angels,1,425,12810219,16,32
Oakland Athletics,0,1961,38116608,17,28
Toronto Blue Jays,0,1903,50315629,18,19
Minnesota Twins,0,1902,49370380,19,20
Seattle Mariners,0,1890,55032895,20,15
New York Mets,0,1887,60594607,21,8
Milwaukee Brewers,0,1867,57703182,22,12
San Diego Padres,0,1795,55390905,23,14
Cleveland Indians,0,1786,40674799,24,25
Cincinnati Reds,0,1784,47058309,25,22
Detroit Tigers,0,1755,51908973,26,17
Colorado Rockies,0,1748,60687973,27,7
Baltimore Orioles,0,1714,48937907,28,21
Pittsburgh Pirates,0,1691,41547164,29,24
Los Angeles Angels of Anaheim,0,1546,54050033,30,16
Tampa Bay Rays,0,1366,21066070,31,29
Miami Marlins,0,806,14921044,32,31
Tampa Bay Devil Rays,0,513,10045608,33,33
Montreal Expos,0,368,4156251,34,34
Cleveland Guardians,0,168,3129938,35,35
